,ts_code_x,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount,ts_code_y,adj_factor
0,300278.SZ,20111216,17.0,17.99,17.0,17.9,16.56,1.34,8.09,141835.6,248670.7848,300278.SZ,1.0
1,300278.SZ,20111219,17.0,17.66,16.7,17.5,17.9,-0.4,-2.23,79891.8,137076.5616,300278.SZ,1.0
2,300278.SZ,20111220,17.22,17.88,17.1,17.1,17.5,-0.4,-2.29,75559.61,132050.0904,300278.SZ,1.0
3,300278.SZ,20111221,17.2,17.29,15.88,15.88,17.1,-1.22,-7.13,61362.62,101697.5926,300278.SZ,1.0
4,300278.SZ,20111222,15.34,15.58,14.8,15.01,15.88,-0.87,-5.48,47299.85,71532.7068,300278.SZ,1.0
5,300278.SZ,20111223,15.01,15.44,14.88,15.03,15.01,0.02,0.13,32259.69,48835.1672,300278.SZ,1.0
6,300278.SZ,20111226,14.99,15.27,14.5,14.5,15.03,-0.53,-3.53,27774.77,41360.9713,300278.SZ,1.0
7,300278.SZ,20111227,14.38,14.57,13.55,13.55,14.5,-0.95,-6.55,30985.56,43321.3395,300278.SZ,1.0
8,300278.SZ,20111228,13.41,14.0,13.21,13.8,13.55,0.25,1.85,26319.11,35655.5918,300278.SZ,1.0
9,300278.SZ,20111229,13.61,14.52,13.58,14.38,13.8,0.58,4.2,35223.7,49849.2561,300278.SZ,1.0
10,300278.SZ,20111230,14.2,15.1,14.18,14.79,14.38,0.41,2.85,38157.01,56531.4169,300278.SZ,1.0
11,300278.SZ,20120104,14.89,14.89,14.02,14.03,14.79,-0.76,-5.14,20873.9,30381.093,300278.SZ,1.0
12,300278.SZ,20120105,13.78,15.21,13.68,14.37,14.03,0.34,2.42,32342.83,46577.8135,300278.SZ,1.0
13,300278.SZ,20120106,14.1,15.19,13.55,15.18,14.37,0.81,5.64,36343.28,53337.0212,300278.SZ,1.0
14,300278.SZ,20120109,15.1,15.83,14.95,15.73,15.18,0.55,3.62,34897.56,53640.7636,300278.SZ,1.0
15,300278.SZ,20120110,15.59,15.72,14.79,15.57,15.73,-0.16,-1.02,77547.82,117591.3666,300278.SZ,1.0
16,300278.SZ,20120111,15.15,15.46,14.85,15.16,15.57,-0.41,-2.63,50677.58,76922.6772,300278.SZ,1.0
17,300278.SZ,20120112,15.16,15.16,15.16,15.16,15.16,0.0,0.0,0.0,0.0,300278.SZ,1.0
18,300278.SZ,20120113,14.8,14.9,13.64,13.64,15.16,-1.52,-10.03,47656.99,66713.1596,300278.SZ,1.0
19,300278.SZ,20120116,13.07,13.33,12.6,12.61,13.64,-1.03,-7.55,25060.15,32413.6752,300278.SZ,1.0
20,300278.SZ,20120117,12.73,13.43,12.6,13.33,12.61,0.72,5.71,22838.22,29835.4084,300278.SZ,1.0
21,300278.SZ,20120118,13.3,13.48,12.4,12.51,13.33,-0.82,-6.15,25537.58,33108.8072,300278.SZ,1.0
22,300278.SZ,20120119,12.5,13.07,12.5,12.89,12.51,0.38,3.04,12153.36,15585.9788,300278.SZ,1.0
23,300278.SZ,20120120,12.78,13.35,12.78,13.12,12.89,0.23,1.78,16171.97,21283.0543,300278.SZ,1.0
24,300278.SZ,20120130,13.18,13.54,13.01,13.16,13.12,0.04,0.3,17320.47,23066.3527,300278.SZ,1.0
25,300278.SZ,20120131,13.16,13.24,12.96,13.17,13.16,0.01,0.08,11046.03,14455.7428,300278.SZ,1.0
26,300278.SZ,20120201,13.19,13.52,13.14,13.32,13.17,0.15,1.14,19390.03,25935.3766,300278.SZ,1.0
27,300278.SZ,20120202,13.43,13.59,13.29,13.56,13.32,0.24,1.8,17288.2,23277.3438,300278.SZ,1.0
28,300278.SZ,20120203,13.5,13.79,13.43,13.72,13.56,0.16,1.18,21386.35,29108.8028,300278.SZ,1.0
29,300278.SZ,20120206,13.78,13.89,13.55,13.65,13.72,-0.07,-0.51,16991.17,23309.3482,300278.SZ,1.0
30,300278.SZ,20120207,13.61,13.61,13.18,13.25,13.65,-0.4,-2.93,13929.48,18556.9733,300278.SZ,1.0
31,300278.SZ,20120208,13.25,13.67,13.16,13.64,13.25,0.39,2.94,13294.97,17911.7778,300278.SZ,1.0
32,300278.SZ,20120209,13.57,13.92,13.53,13.73,13.64,0.09,0.66,17055.63,23518.0268,300278.SZ,1.0
33,300278.SZ,20120210,13.76,14.05,13.68,13.9,13.73,0.17,1.24,17335.97,24091.2482,300278.SZ,1.0
34,300278.SZ,20120213,13.78,14.3,13.71,14.25,13.9,0.35,2.52,17069.01,24139.2781,300278.SZ,1.0
35,300278.SZ,20120214,14.11,14.22,14.0,14.12,14.25,-0.13,-0.91,12117.95,17075.0788,300278.SZ,1.0
36,300278.SZ,20120215,14.06,14.39,14.0,14.32,14.12,0.2,1.42,12583.12,17900.2507,300278.SZ,1.0
37,300278.SZ,20120216,14.25,14.46,13.98,14.11,14.32,-0.21,-1.47,15650.79,22181.2363,300278.SZ,1.0
38,300278.SZ,20120217,14.14,14.25,13.86,13.95,14.11,-0.16,-1.13,11062.87,15479.2418,300278.SZ,1.0
39,300278.SZ,20120220,14.15,14.19,14.03,14.13,13.95,0.18,1.29,15111.92,21323.481,300278.SZ,1.0
40,300278.SZ,20120221,14.1,14.48,14.0,14.45,14.13,0.32,2.26,18850.11,26878.1516,300278.SZ,1.0
41,300278.SZ,20120222,14.45,14.45,14.45,14.45,14.45,0.0,0.0,0.0,0.0,300278.SZ,1.0
42,300278.SZ,20120223,14.8,15.87,14.8,15.15,14.45,0.7,4.84,47859.92,72953.4018,300278.SZ,1.0
43,300278.SZ,20120224,15.05,15.33,15.0,15.31,15.15,0.16,1.06,23468.84,35631.8188,300278.SZ,1.0
44,300278.SZ,20120227,15.29,15.8,15.29,15.3,15.31,-0.01,-0.07,30378.85,47108.1682,300278.SZ,1.0
45,300278.SZ,20120228,15.22,16.17,15.18,15.92,15.3,0.62,4.05,35520.82,55588.987,300278.SZ,1.0
46,300278.SZ,20120229,15.76,16.12,15.36,15.4,15.92,-0.52,-3.27,24191.62,38024.0859,300278.SZ,1.0
47,300278.SZ,20120301,15.26,15.74,15.2,15.49,15.4,0.09,0.58,15437.53,23902.9363,300278.SZ,1.0
48,300278.SZ,20120302,15.49,15.95,15.46,15.93,15.49,0.44,2.84,18901.76,29794.7477,300278.SZ,1.0
49,300278.SZ,20120305,15.96,16.21,15.71,16.1,15.93,0.17,1.07,20095.95,32077.1875,300278.SZ,1.0
50,300278.SZ,20120306,16.0,16.0,15.3,15.54,16.1,-0.56,-3.48,18762.23,29267.123,300278.SZ,1.0
51,300278.SZ,20120307,15.22,15.95,15.18,15.41,15.54,-0.13,-0.84,14760.24,23005.6592,300278.SZ,1.0
52,300278.SZ,20120308,15.56,15.8,15.51,15.57,15.41,0.16,1.04,11870.47,18552.3502,300278.SZ,1.0
53,300278.SZ,20120309,15.67,16.37,15.66,16.27,15.57,0.7,4.5,24904.67,39918.905,300278.SZ,1.0
54,300278.SZ,20120312,16.3,16.42,16.03,16.41,16.27,0.14,0.86,16150.26,26186.45,300278.SZ,1.0
55,300278.SZ,20120313,16.33,16.52,16.15,16.46,16.41,0.05,0.3,14287.73,23379.047,300278.SZ,1.0
56,300278.SZ,20120314,16.6,16.95,15.4,15.64,16.46,-0.82,-4.98,32444.18,53024.1395,300278.SZ,1.0
57,300278.SZ,20120315,15.64,15.84,15.06,15.36,15.64,-0.28,-1.79,17188.17,26533.3558,300278.SZ,1.0
58,300278.SZ,20120316,15.36,15.9,15.25,15.88,15.36,0.52,3.39,13760.58,21468.3118,300278.SZ,1.0
59,300278.SZ,20120319,15.79,16.54,15.69,16.28,15.88,0.4,2.52,28089.2,45300.2687,300278.SZ,1.0
60,300278.SZ,20120320,16.12,16.26,15.59,15.6,16.28,-0.68,-4.18,20008.23,31706.5084,300278.SZ,1.0
61,300278.SZ,20120321,15.65,15.84,15.28,15.56,15.6,-0.04,-0.26,15363.99,23836.6279,300278.SZ,1.0
62,300278.SZ,20120322,15.56,15.87,15.45,15.6,15.56,0.04,0.26,5508.85,8629.1402,300278.SZ,1.0
63,300278.SZ,20120323,15.53,15.82,15.08,15.23,15.6,-0.37,-2.37,13187.59,20501.8558,300278.SZ,1.0
64,300278.SZ,20120326,15.1,15.28,14.7,14.83,15.23,-0.4,-2.63,8681.39,12998.254,300278.SZ,1.0
65,300278.SZ,20120327,14.9,15.09,14.8,14.94,14.83,0.11,0.74,9893.16,14760.6598,300278.SZ,1.0
66,300278.SZ,20120328,14.86,15.02,14.5,14.52,14.94,-0.42,-2.81,13997.75,20668.6532,300278.SZ,1.0
67,300278.SZ,20120329,14.52,14.82,14.16,14.53,14.52,0.01,0.07,12292.64,17929.5798,300278.SZ,1.0
68,300278.SZ,20120330,14.27,14.93,14.27,14.93,14.53,0.4,2.75,15210.16,22291.7899,300278.SZ,1.0
69,300278.SZ,20120405,14.93,15.58,14.91,15.55,14.93,0.62,4.15,13428.27,20670.3243,300278.SZ,1.0
70,300278.SZ,20120406,15.58,15.83,15.41,15.83,15.55,0.28,1.8,10623.93,16695.5915,300278.SZ,1.0
71,300278.SZ,20120409,15.87,17.41,15.87,17.41,15.83,1.58,9.98,51186.47,87922.4276,300278.SZ,1.0
72,300278.SZ,20120410,17.41,18.28,17.38,18.15,17.41,0.74,4.25,38187.42,68179.4486,300278.SZ,1.0
73,300278.SZ,20120411,17.92,18.49,17.72,18.3,18.15,0.15,0.83,19246.19,34786.3265,300278.SZ,1.0
74,300278.SZ,20120412,18.0,18.24,17.71,18.08,18.3,-0.22,-1.2,16256.25,29253.8846,300278.SZ,1.0
75,300278.SZ,20120413,17.95,19.3,17.88,18.65,18.08,0.57,3.15,20036.79,37352.9752,300278.SZ,1.0
76,300278.SZ,20120416,18.6,18.78,18.25,18.65,18.65,0.0,0.0,13643.31,25314.6147,300278.SZ,1.0
77,300278.SZ,20120417,18.65,19.2,18.5,18.65,18.65,0.0,0.0,12019.02,22496.8203,300278.SZ,1.0
