,ts_code_x,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount,ts_code_y,adj_factor
0,603879.SH,20170614,9.72,9.72,9.72,9.72,6.75,2.97,44.0,69.6,67.651,603879.SH,1.0
1,603879.SH,20170615,10.69,10.69,10.69,10.69,9.72,0.97,9.98,49.25,52.648,603879.SH,1.0
2,603879.SH,20170616,11.76,11.76,11.76,11.76,10.69,1.07,10.01,100.27,117.918,603879.SH,1.0
3,603879.SH,20170619,12.94,12.94,12.94,12.94,11.76,1.18,10.03,122.6,158.644,603879.SH,1.0
4,603879.SH,20170620,14.23,14.23,14.23,14.23,12.94,1.29,9.97,286.12,407.149,603879.SH,1.0
5,603879.SH,20170621,15.65,15.65,15.65,15.65,14.23,1.42,9.98,326.6,511.129,603879.SH,1.0
6,603879.SH,20170622,17.22,17.22,17.22,17.22,15.65,1.57,10.03,1911.02,3290.776,603879.SH,1.0
7,603879.SH,20170623,18.94,18.94,18.94,18.94,17.22,1.72,9.99,4005.73,7586.853,603879.SH,1.0
8,603879.SH,20170626,20.83,20.83,20.83,20.83,18.94,1.89,9.98,12751.19,26560.729,603879.SH,1.0
9,603879.SH,20170627,22.48,22.86,21.5,22.55,20.83,1.72,8.26,249562.07,553141.822,603879.SH,1.0
10,603879.SH,20170628,21.03,22.15,20.55,21.4,22.55,-1.15,-5.1,172076.89,365140.67,603879.SH,1.0
11,603879.SH,20170629,21.4,22.5,20.92,21.67,21.4,0.27,1.26,167089.09,360401.012,603879.SH,1.0
12,603879.SH,20170630,20.92,23.84,20.69,23.1,21.67,1.43,6.6,249593.7,572208.163,603879.SH,1.0
13,603879.SH,20170703,22.22,22.5,21.42,21.87,23.1,-1.23,-5.32,183933.11,403151.983,603879.SH,1.0
14,603879.SH,20170704,21.89,22.22,21.2,21.74,21.87,-0.13,-0.59,125872.22,272820.879,603879.SH,1.0
15,603879.SH,20170705,21.47,22.89,21.47,22.52,21.74,0.78,3.59,177108.64,396138.966,603879.SH,1.0
16,603879.SH,20170706,22.5,23.16,21.81,22.31,22.52,-0.21,-0.93,135761.09,304238.124,603879.SH,1.0
17,603879.SH,20170707,22.0,22.47,21.71,22.0,22.31,-0.31,-1.39,107962.35,237798.108,603879.SH,1.0
18,603879.SH,20170710,21.5,21.6,19.8,19.8,22.0,-2.2,-10.0,126576.48,257888.968,603879.SH,1.0
19,603879.SH,20170711,19.6,20.04,19.43,19.57,19.8,-0.23,-1.16,54715.54,107772.743,603879.SH,1.0
20,603879.SH,20170712,19.56,20.1,19.04,20.02,19.57,0.45,2.3,57598.75,112820.926,603879.SH,1.0
21,603879.SH,20170713,19.9,19.9,19.23,19.36,20.02,-0.66,-3.3,40214.48,78489.171,603879.SH,1.0
22,603879.SH,20170714,19.31,19.45,18.87,18.88,19.36,-0.48,-2.48,36977.81,70684.457,603879.SH,1.0
23,603879.SH,20170717,18.65,18.65,16.99,16.99,18.88,-1.89,-10.01,51006.16,88981.736,603879.SH,1.0
24,603879.SH,20170718,16.67,17.2,16.39,17.01,16.99,0.02,0.12,35601.98,59749.656,603879.SH,1.0
25,603879.SH,20170719,16.82,17.16,16.61,17.11,17.01,0.1,0.59,31800.04,53786.771,603879.SH,1.0
26,603879.SH,20170720,16.95,17.58,16.87,16.92,17.11,-0.19,-1.11,34045.1,58752.129,603879.SH,1.0
27,603879.SH,20170721,16.76,17.08,16.62,16.67,16.92,-0.25,-1.48,24597.6,41284.147,603879.SH,1.0
28,603879.SH,20170724,16.42,17.1,16.15,16.93,16.67,0.26,1.56,39577.03,65964.467,603879.SH,1.0
29,603879.SH,20170725,16.91,17.24,16.85,16.97,16.93,0.04,0.24,25333.79,43150.43,603879.SH,1.0
30,603879.SH,20170726,16.93,17.1,16.6,16.79,16.97,-0.18,-1.06,20909.14,35201.485,603879.SH,1.0
31,603879.SH,20170727,16.71,17.47,16.62,17.36,16.79,0.57,3.39,42041.38,72130.081,603879.SH,1.0
32,603879.SH,20170728,17.34,17.61,17.15,17.26,17.36,-0.1,-0.58,28457.95,49355.11,603879.SH,1.0
33,603879.SH,20170731,17.2,17.36,16.93,17.18,17.26,-0.08,-0.46,17119.15,29350.685,603879.SH,1.0
34,603879.SH,20170801,17.22,17.32,16.84,17.2,17.18,0.02,0.12,19737.06,33703.789,603879.SH,1.0
35,603879.SH,20170802,17.11,17.18,16.6,16.69,17.2,-0.51,-2.97,24548.14,41432.185,603879.SH,1.0
36,603879.SH,20170803,16.63,17.08,16.56,16.71,16.69,0.02,0.12,18994.73,31864.595,603879.SH,1.0
37,603879.SH,20170804,16.7,16.77,16.54,16.64,16.71,-0.07,-0.42,17780.26,29631.97,603879.SH,1.0
38,603879.SH,20170807,16.64,16.84,16.58,16.74,16.64,0.1,0.6,16134.95,26927.76,603879.SH,1.0
39,603879.SH,20170808,16.8,16.8,16.45,16.56,16.74,-0.18,-1.08,17214.95,28539.037,603879.SH,1.0
40,603879.SH,20170809,16.57,16.6,16.22,16.28,16.56,-0.28,-1.69,17817.75,29235.765,603879.SH,1.0
41,603879.SH,20170810,16.29,16.4,15.83,15.89,16.28,-0.39,-2.4,25996.05,41791.536,603879.SH,1.0
42,603879.SH,20170811,15.76,15.8,15.4,15.47,15.89,-0.42,-2.64,19090.72,29773.871,603879.SH,1.0
43,603879.SH,20170814,15.47,15.79,15.47,15.77,15.47,0.3,1.94,14902.78,23376.323,603879.SH,1.0
44,603879.SH,20170815,15.9,16.24,15.85,16.09,15.77,0.32,2.03,23916.34,38352.007,603879.SH,1.0
45,603879.SH,20170816,16.17,16.57,16.07,16.47,16.09,0.38,2.36,27604.46,45178.752,603879.SH,1.0
46,603879.SH,20170817,16.44,17.24,16.29,16.88,16.47,0.41,2.49,54728.33,92046.031,603879.SH,1.0
47,603879.SH,20170818,16.57,16.8,16.46,16.53,16.88,-0.35,-2.07,27096.52,44869.998,603879.SH,1.0
48,603879.SH,20170821,16.53,17.08,16.53,17.07,16.53,0.54,3.27,32796.46,55379.704,603879.SH,1.0
49,603879.SH,20170822,17.22,17.22,16.85,16.97,17.07,-0.1,-0.59,28639.54,48762.506,603879.SH,1.0
50,603879.SH,20170823,17.03,17.35,16.73,17.15,16.97,0.18,1.06,33146.47,56446.025,603879.SH,1.0
51,603879.SH,20170824,17.15,17.6,16.9,16.92,17.15,-0.23,-1.34,46629.78,80433.04,603879.SH,1.0
52,603879.SH,20170825,16.92,17.77,16.86,17.75,16.92,0.83,4.91,65009.04,113646.936,603879.SH,1.0
53,603879.SH,20170828,18.28,19.0,17.9,18.53,17.75,0.78,4.39,76353.08,140122.967,603879.SH,1.0
54,603879.SH,20170829,18.43,20.38,18.16,19.34,18.53,0.81,4.37,142545.27,279696.081,603879.SH,1.0
55,603879.SH,20170830,19.05,19.99,18.61,19.64,19.34,0.3,1.55,126844.11,247323.43,603879.SH,1.0
56,603879.SH,20170831,19.74,20.72,19.57,20.57,19.64,0.93,4.74,124304.7,252074.712,603879.SH,1.0
57,603879.SH,20170901,20.22,20.53,19.58,19.76,20.57,-0.81,-3.94,86807.57,172583.675,603879.SH,1.0
58,603879.SH,20170904,19.65,19.67,18.65,18.87,19.76,-0.89,-4.5,68825.33,130678.734,603879.SH,1.0
59,603879.SH,20170905,18.84,19.1,18.7,18.92,18.87,0.05,0.27,34063.08,64563.548,603879.SH,1.0
60,603879.SH,20170906,18.8,18.8,18.17,18.43,18.92,-0.49,-2.59,47040.75,86406.409,603879.SH,1.0
61,603879.SH,20170907,18.45,18.95,18.4,18.49,18.43,0.06,0.33,40560.17,75796.539,603879.SH,1.0
62,603879.SH,20170908,18.33,18.63,18.09,18.54,18.49,0.05,0.27,33043.54,60791.315,603879.SH,1.0
63,603879.SH,20170911,18.51,19.35,18.48,19.33,18.54,0.79,4.26,43121.55,81785.755,603879.SH,1.0
64,603879.SH,20170912,19.4,20.28,18.86,19.81,19.33,0.48,2.48,94469.04,185254.373,603879.SH,1.0
65,603879.SH,20170913,19.83,20.47,19.78,19.82,19.81,0.01,0.05,58512.56,117346.468,603879.SH,1.0
66,603879.SH,20170914,19.52,20.1,19.41,20.0,19.82,0.18,0.91,47050.87,93057.552,603879.SH,1.0
67,603879.SH,20170915,20.02,20.2,19.79,20.01,20.0,0.01,0.05,34229.58,68537.416,603879.SH,1.0
68,603879.SH,20170918,19.81,20.2,19.48,20.15,20.01,0.14,0.7,44078.07,87379.295,603879.SH,1.0
69,603879.SH,20170919,20.15,20.59,19.94,20.28,20.15,0.13,0.65,51937.31,105327.93,603879.SH,1.0
70,603879.SH,20170920,20.1,21.59,20.1,21.31,20.28,1.03,5.08,76665.17,159702.27,603879.SH,1.0
71,603879.SH,20170921,21.3,22.45,21.25,22.08,21.31,0.77,3.61,84391.65,184805.322,603879.SH,1.0
72,603879.SH,20170922,21.75,22.93,21.7,22.3,22.08,0.22,1.0,81473.96,182543.673,603879.SH,1.0
73,603879.SH,20170925,21.88,22.5,21.6,22.06,22.3,-0.24,-1.08,56856.1,125345.034,603879.SH,1.0
74,603879.SH,20170926,22.08,22.18,21.4,21.5,22.06,-0.56,-2.54,57841.69,126126.533,603879.SH,1.0
75,603879.SH,20170927,21.53,22.1,21.52,21.98,21.5,0.48,2.23,50525.88,109833.812,603879.SH,1.0
76,603879.SH,20170928,22.01,22.75,21.81,22.49,21.98,0.51,2.32,45284.87,101212.5,603879.SH,1.0
77,603879.SH,20170929,22.6,22.93,22.17,22.68,22.49,0.19,0.84,35267.2,79727.787,603879.SH,1.0
78,603879.SH,20171009,22.93,22.94,22.28,22.55,22.68,-0.13,-0.57,27137.31,61576.632,603879.SH,1.0
79,603879.SH,20171010,22.7,22.74,21.73,21.86,22.55,-0.69,-3.06,33611.54,74056.205,603879.SH,1.0
80,603879.SH,20171011,21.92,22.54,21.48,21.79,21.86,-0.07,-0.32,40076.76,87964.182,603879.SH,1.0
81,603879.SH,20171012,21.57,22.02,21.57,21.72,21.79,-0.07,-0.32,32633.75,71198.332,603879.SH,1.0
82,603879.SH,20171013,21.8,21.9,21.57,21.82,21.72,0.1,0.46,22147.52,48203.073,603879.SH,1.0
83,603879.SH,20171016,22.0,22.0,21.22,21.62,21.82,-0.2,-0.92,27601.68,59799.239,603879.SH,1.0
84,603879.SH,20171017,21.63,22.22,21.5,22.03,21.62,0.41,1.9,37312.3,81666.4,603879.SH,1.0
85,603879.SH,20171018,21.99,22.4,21.63,22.21,22.03,0.18,0.82,40008.34,88239.599,603879.SH,1.0
86,603879.SH,20171019,22.1,22.52,22.0,22.49,22.21,0.28,1.26,33655.42,75080.943,603879.SH,1.0
87,603879.SH,20171020,22.41,23.95,22.33,23.8,22.49,1.31,5.82,43432.72,99910.711,603879.SH,1.0
88,603879.SH,20171023,23.72,24.55,23.54,24.14,23.8,0.34,1.43,42343.79,102028.086,603879.SH,1.0
89,603879.SH,20171024,24.03,24.42,23.7,24.02,24.14,-0.12,-0.5,30877.8,74174.655,603879.SH,1.0
90,603879.SH,20171025,23.81,24.74,23.81,24.56,24.02,0.54,2.25,29044.29,70492.42,603879.SH,1.0
91,603879.SH,20171026,24.65,25.07,24.4,25.0,24.56,0.44,1.79,26788.4,66106.773,603879.SH,1.0
92,603879.SH,20171027,24.83,25.8,24.45,25.6,25.0,0.6,2.4,37858.49,95206.864,603879.SH,1.0
93,603879.SH,20171030,25.62,25.88,24.96,25.65,25.6,0.05,0.2,33396.8,85249.055,603879.SH,1.0
94,603879.SH,20171031,25.67,27.15,25.21,26.94,25.65,1.29,5.03,39228.44,102596.865,603879.SH,1.0
95,603879.SH,20171101,26.9,27.47,26.65,27.16,26.94,0.22,0.82,29561.12,79997.059,603879.SH,1.0
96,603879.SH,20171102,27.1,27.3,26.9,27.21,27.16,0.05,0.18,17911.6,48601.254,603879.SH,1.0
97,603879.SH,20171103,27.29,27.68,27.0,27.12,27.21,-0.09,-0.33,30500.6,83248.416,603879.SH,1.0
98,603879.SH,20171106,27.18,27.22,25.75,26.81,27.12,-0.31,-1.14,47617.46,128191.922,603879.SH,1.0
99,603879.SH,20171107,26.81,27.15,26.51,26.87,26.81,0.06,0.22,32267.67,86482.637,603879.SH,1.0
100,603879.SH,20171108,26.8,26.88,26.2,26.36,26.87,-0.51,-1.9,20823.0,55349.199,603879.SH,1.0
101,603879.SH,20171109,26.4,26.69,26.36,26.51,26.36,0.15,0.57,24224.0,64178.459,603879.SH,1.0
102,603879.SH,20171110,26.52,26.64,25.8,26.35,26.51,-0.16,-0.6,24225.75,63389.117,603879.SH,1.0
103,603879.SH,20171113,26.41,26.95,25.9,26.52,26.35,0.17,0.65,23139.44,61149.521,603879.SH,1.0
104,603879.SH,20171114,26.4,26.98,26.4,26.53,26.52,0.01,0.04,30511.47,81311.615,603879.SH,1.0
105,603879.SH,20171115,26.53,26.67,25.85,25.89,26.53,-0.64,-2.41,21659.6,56876.641,603879.SH,1.0
