,ts_code,symbol,name,exchange_id,list_status,list_date
3099,603001.SH,603001,奥康国际,SSE,L,20120426
3100,603002.SH,603002,宏昌电子,SSE,L,20120518
3101,603003.SH,603003,龙宇燃油,SSE,L,20120817
3102,603005.SH,603005,晶方科技,SSE,L,20140210
3103,603006.SH,603006,联明股份,SSE,L,20140630
3104,603007.SH,603007,花王股份,SSE,L,20160826
3105,603008.SH,603008,喜临门,SSE,L,20120717
3106,603009.SH,603009,北特科技,SSE,L,20140718
3107,603010.SH,603010,万盛股份,SSE,L,20141010
3108,603011.SH,603011,合锻智能,SSE,L,20141107
3109,603012.SH,603012,创力集团,SSE,L,20150320
3110,603013.SH,603013,亚普股份,SSE,L,20180509
3111,603015.SH,603015,弘讯科技,SSE,L,20150303
3112,603016.SH,603016,新宏泰,SSE,L,20160701
3113,603017.SH,603017,中衡设计,SSE,L,20141231
3114,603018.SH,603018,中设集团,SSE,L,20141013
3115,603019.SH,603019,中科曙光,SSE,L,20141106
3116,603020.SH,603020,爱普股份,SSE,L,20150325
3117,603021.SH,603021,山东华鹏,SSE,L,20150423
3118,603022.SH,603022,新通联,SSE,L,20150518
3119,603023.SH,603023,威帝股份,SSE,L,20150527
3120,603025.SH,603025,大豪科技,SSE,L,20150422
3121,603026.SH,603026,石大胜华,SSE,L,20150529
3122,603027.SH,603027,千禾味业,SSE,L,20160307
3123,603028.SH,603028,赛福天,SSE,L,20160331
3124,603029.SH,603029,天鹅股份,SSE,L,20160427
3125,603030.SH,603030,全筑股份,SSE,L,20150320
3126,603031.SH,603031,安德利,SSE,L,20160822
3127,603032.SH,603032,德新交运,SSE,L,20170105
3128,603033.SH,603033,三维股份,SSE,L,20161207
3129,603035.SH,603035,常熟汽饰,SSE,L,20170105
3130,603036.SH,603036,如通股份,SSE,L,20161209
3131,603037.SH,603037,凯众股份,SSE,L,20170120
3132,603038.SH,603038,华立股份,SSE,L,20170116
3133,603039.SH,603039,泛微网络,SSE,L,20170113
3134,603040.SH,603040,新坐标,SSE,L,20170209
3135,603041.SH,603041,美思德,SSE,L,20170330
3136,603042.SH,603042,华脉科技,SSE,L,20170602
3137,603043.SH,603043,广州酒家,SSE,L,20170627
3138,603045.SH,603045,福达合金,SSE,L,20180517
3139,603050.SH,603050,科林电气,SSE,L,20170414
3140,603055.SH,603055,台华新材,SSE,L,20170921
3141,603056.SH,603056,德邦股份,SSE,L,20180116
3142,603058.SH,603058,永吉股份,SSE,L,20161223
3143,603059.SH,603059,倍加洁,SSE,L,20180302
3144,603060.SH,603060,国检集团,SSE,L,20161109
3145,603063.SH,603063,禾望电气,SSE,L,20170728
3146,603066.SH,603066,音飞储存,SSE,L,20150611
3147,603067.SH,603067,振华股份,SSE,L,20160913
3148,603069.SH,603069,海汽集团,SSE,L,20160712
3149,603076.SH,603076,乐惠国际,SSE,L,20171113
3150,603077.SH,603077,和邦生物,SSE,L,20120731
3151,603078.SH,603078,江化微,SSE,L,20170410
3152,603079.SH,603079,圣达生物,SSE,L,20170823
3153,603080.SH,603080,新疆火炬,SSE,L,20180103
3154,603081.SH,603081,大丰实业,SSE,L,20170420
3155,603083.SH,603083,剑桥科技,SSE,L,20171110
3156,603085.SH,603085,天成自控,SSE,L,20150630
3157,603086.SH,603086,先达股份,SSE,L,20170511
3158,603088.SH,603088,宁波精达,SSE,L,20141111
3159,603089.SH,603089,正裕工业,SSE,L,20170126
3160,603090.SH,603090,宏盛股份,SSE,L,20160831
3161,603096.SH,603096,新经典,SSE,L,20170425
3162,603098.SH,603098,森特股份,SSE,L,20161216
3163,603099.SH,603099,长白山,SSE,L,20140822
3164,603100.SH,603100,川仪股份,SSE,L,20140805
3165,603101.SH,603101,汇嘉时代,SSE,L,20160506
